;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
Coronel PM (RN);ALARICO JOSÉ PESSOA AZEVEDO JÚNIOR;Oficial;;3.626/GM-MD;29/08/2019;;
Embaixador;ALARICO SILVEIRA JÚNIOR;Grande-Oficial;04/10/1973;;;;
Doutor;ALAUR DE FARIA BARROS;Oficial;22/12/1980;;;;
SO SAD;ALBA FANI DILL DE QUADROS DE MATOS;Cavaleiro;20/10/2015;;;;
Presidente (TJ/PA);ALBANIRA LOBATO BEMERGUY;Comendador;04/10/2007;;;;
Governador (SE);ALBANO DO PRADO PIMENTEL FRANCO;Grande-Oficial;20/09/1984;;;;
Gen Bda;ALBERI SILVEIRA DIAS;Comendador;16/09/1998;;;;
Gen Bda;ALBÉRICO BARROSO ALVES;Oficial;20/09/1985;;;;
Cap QOEA Mus R/1;ALBERLEI SCHLOGL;Cavaleiro;04/10/2007;;;;
Cel Ex;ALBERT LOUIS GEORGES BUCHALET;Comendador;19/01/1953;;;;
Cel Av;ALBERT SANCHEZ;Oficial;14/05/1985;;;;
Senhora;ALBERTINA DE ALMEIDA AGUIAR NEVES;Cavaleiro; ;2.955/MD;22/10/2013;;
Médico;ALBERTINO ANTÔNIO SOBREIRO FILHO;Cavaleiro;11/09/1996;;;;
SO QSS SAD;ALBERTINO RIBEIRO DE CARVALHO FILHO;Cavaleiro;26/09/2005;;;;
Professor Adjunto;ALBERTO ADADE FILHO;Oficial;19/10/2010;;;;
Brig Int;ALBERTO ALVES DE SOUZA;Comendador;26/09/2000;;;;
V Alte;ALBERTO ANNARUMMA JÚNIOR;Comendador;23/09/1993;;;;
Cel Av;ALBERTO AUGUSTO MORAES VIEIRA ALVES;Cavaleiro;15/10/2018;;;;
Maj Brig Ar;ALBERTO BALTAR;Grande-Oficial;08/09/1989;;;;
Cel Inf (Ex);ALBERTO BARBOSA FRAZÃO PEREIRA;Oficial;21/10/2013;; ;;
Senhor;ALBERTO BERTELLI;Oficial;25/09/1979;;;;
Maj Brig Ar;ALBERTO BINS NETTO;Grande-Oficial;05/10/1977;;;;
Cap Av;ALBERTO CAPELLINI;Cavaleiro;20/09/1985;;;;
Ten Cel Ex;ALBERTO CARLOS COSTA FORTUNATO;Oficial;19/10/1965;;;;
C Alte;ALBERTO CARLOS DE AGUIAR;Comendador;14/10/1992;;;;
Assessor Especial do Ministro da Defesa;ALBERTO CARLOS DE MELLO FONSECA;Comendador;;3.210/GM-MD;25/09/2020;;
Gen Div;ALBERTO CARLOS DE MENDONÇA LIMA;Comendador;04/10/1973;;;;
Maj Brig Ar;ALBERTO DA COSTA MATTOS;Grande-Oficial;13/10/1969;;;;
Cel Int;ALBERTO DA SILVA BRITTO;Cavaleiro;01/09/1987;;;;
Cel Av;ALBERTO DAS NEVES NETO;Oficial;19/10/2012;;;;
Ten Cel Ex (Int);ALBERTO DE GUSMÃO COELHO;Oficial;20/09/1983;;;;
Doutor;ALBERTO DE MELLO FLORES;Oficial;14/10/1953;;;;
SO QSS BCO;ALBERTO DE MELO PETROCCHI;Cavaleiro;07/10/1994;;;;
1º Ten Adm;ALBERTO DE OLIVEIRA LEZE;Cavaleiro;14/10/1958;;;;
Cel Av;ALBERTO DE PAIVA CÔRTES;Cavaleiro;12/09/1990;;;;
Maj Inf;ALBERTO DE SOUZA REIS;Cavaleiro;04/10/1976;;;;
CMG;ALBERTO DO VALLE ROSAURO DE ALMEIDA;Oficial;25/09/1979;;;;
SO QSS BMA;ALBERTO DOS REIS CASEMIRO;Cavaleiro;19/10/2010;;;;
Cel Int;ALBERTO DOS SANTOS D'ALBUQUERQUE E CASTRO;Oficial;23/09/1997;;;;
Gen Ex;ALBERTO DOS SANTOS LIMA FAJARDO;Grande-Oficial;08/09/1989;;;;
Senhor;ALBERTO EDUARDO COSTA;Oficial;02/10/1978;;;;
Gen Bda;ALBERTO EVILÁSIO DE BARROS GONDIM;Comendador;20/09/1985;;;;
Comandante;ALBERTO FAJERMAN;Oficial;26/09/2000;;;;
Cel Pil Av;ALBERTO FERNANDES;Oficial;19/08/1968;;;;
Cel Av R/1;ALBERTO FERNANDO BARDDAL DRUMMOND FILHO;Cavaleiro;25/09/2008;;;;
Senhor;ALBERTO FERREIRA DA COSTA;Oficial;;3.552/GM-MD;21/09/2018;;
Cel Av;ALBERTO FERREIRA FILHO;Oficial;01/10/2003;;;;
Doutor;ALBERTO FRANCO FARIA MARCONDES;Oficial;17/09/1980;;;;
Cel Av;ALBERTO GARCIA MORA;Oficial;01/09/1987;;;;
Deputado Federal (SP);ALBERTO GOLDMAN;Grande-Oficial;26/09/2001;;;;
Doutor;ALBERTO HOFFMANN;Grande-Oficial;01/09/1987;;;;
Cel Av;ALBERTO JACINTHO LOZZA;Oficial;02/10/2017;;;;
SO QSS BCT;ALBERTO JORGE ALBUQUERQUE QUEIROZ;Cavaleiro;26/09/2001;;;;
SO QSS SAD;ALBERTO JORGE DA CUNHA MENDONÇA;Cavaleiro;29/09/2009;;;;
Cel Int R/1;ALBERTO JOSÉ NAVARRO PASCOAL;Oficial;04/10/2007;;;;
Senhor;ALBERTO LIMA;Oficial;29/09/1971;;;;
Cel Med;ALBERTO LIMA SOBREIRO;Cavaleiro;21/10/2011;;;;
Maj Gen;ALBERTO LOPES CAUSILLAS;Grande-Oficial;19/08/1968;;;;
Cel Eng;ALBERTO LOPES PERES;Cavaleiro;15/10/1963;;;;
Gen Div;ALBERTO MÁRCIO FERRAZ SANT'ANA;Grande-Oficial;19/10/2010;;;;
Cap Av;ALBERTO MARTINS TORRES;Comendador;12/09/1990;;;;
3º Sgt Aer;ALBERTO MATIAS DE OLIVEIRA;Cavaleiro;18/09/1991;;;;
Gen Div;ALBERTO MENDES CARDOSO;Grande-Oficial;12/09/1995;;;;
General del Aire;ALBERTO MIGUEL ZANELLI LACOSTE;Grande-Oficial;20/10/2015;;;;
Cel Av;ALBERTO MURAD;Oficial;20/11/1963;;;;
Doutor;ALBERTO PEREIRA DA CUNHA;Oficial;02/10/1978;;;;
SO QSS SGS;ALBERTO PIO GONÇALVES;Cavaleiro;15/09/1981;;;;
Cel Av;ALBERTO PIRES DA SILVA JÚNIOR;Cavaleiro;18/09/1991;;;;
Gen Ex;ALBERTO RIBEIRO PAZ;Grande-Oficial;19/10/1965;;;;
General di Squadra;ALBERTO ROSSO;Grande-Oficial;20/09/2019;;;;
Senhor;ALBERTO SACCOUR;Cavaleiro;04/10/2007;;;;
Cel Med;ALBERTO SALAME;Cavaleiro;14/10/1992;;;;
Cel Av;ALBERTO SIAUDZIONIS;Oficial;05/09/1988;;;;
Coronel PM (SP);ALBERTO SILVEIRA RODRIGUES;Oficial;01/10/2003;;;;
Senhor;ALBERTO SOARES SAMPAIO;Comendador;18/10/1961;;;;
Comandante;ALBERTO SOEIRO CABRAL;Cavaleiro;25/09/1979;;;;
Brig Int R/1;ALBERTO TAVARES DE OLIVEIRA;Grande-Oficial;13/10/2016;;;;
Doutor;ALBERTO TAVARES SILVA;Grande-Oficial;25/09/1981;;;;
Capelão;ALBERTO TREVISAN;Comendador;17/10/1966;;;;
Conselheiro;ALBERTO VASCONCELLOS DA COSTA E SILVA;Comendador;04/10/1973;;;;
Cel Av;ALBERTO WAGNER DA CUNHA BAPTISTA;Cavaleiro;26/09/2000;;;;
Senhor;ALBERTO WINKLER;Cavaleiro;19/10/2010;;;;
Cel (Ex);ALBERY SANTINI;Oficial;12/09/1995;;;;
Cel Med;ALBION SILVA TEIXEIRA;Oficial;23/09/1993;;;;
SO Ref;ALCEBÍADES DE BARROS CALHÁO;Cavaleiro;16/09/1998;;;;
Gen Ex;ALCEDIR PEREIRA LOPES;Grande-Oficial;28/09/1999;;;;
Doutor;ALCENI ANGELO GUERRA;Grande-Oficial;12/09/1990;;;;
Juiz-Auditor;ALCEU ALVES DOS SANTOS;Comendador;19/10/2010;;;;
Doutor;ALCEU OCTACÍLIO BARBEDO;Grande-Oficial;16/10/1959;;;;
Ten Cel Esp Av;ALCEU RAUL CONCEIÇÃO;Cavaleiro;02/10/1978;;;;
SO SAD;ALCEU RIZZO JUNIOR;Cavaleiro;20/10/2015;;;;
ST Cav;ALCEU SOUZA VARGAS;Cavaleiro;25/09/2008;;;;
Gen Bda;ALCIBIADES RAMON SOTO VALLEAU;Comendador;05/09/1988;;;;
Juiz Federal da Justiça Militar;ALCIDES ALCARAZ GOMES;Oficial;;3.210/GM-MD;25/09/2020;;
Cel Av;ALCIDES BARBOSA JUNIOR;Oficial;22/10/2014;;;;
Embaixador;ALCIDES DA COSTA GUIMARÃES FILHO;Grande-Oficial;15/09/1981;;;;
Brig Med R/1;ALCIDES DE ALMEIDA;Comendador;25/09/2008;;;;
SO QSS BMA;ALCIDES DE AMORIM;Cavaleiro;26/09/2001;;;;
Doutor;ALCIDES FRANCISCATO;Grande-Oficial;25/09/1979;;;;
Ministro de Estado;ALCIDES LOPES TÁPIAS;Grande-Oficial;26/09/2000;;;;
Subprocurador-Geral da República;ALCIDES MARTINS;Grande-Oficial;20/09/2006;;;;
Desembargador Federal (TRF2);ALCIDES MARTINS RIBEIRO FILHO;Oficial;;3.552/GM-MD;21/09/2018;;
Brig Ar;ALCIDES MOITINHO NEIVA;Comendador;20/10/1967;;;;
Brig Int;ALCIDES ROBERTO NUNES;Comendador;13/10/2020;;;;
Governador de Góias;ALCIDES RODRIGUES;Grande-Oficial;04/10/2007;;;;
Major-Brigadeiro do Ar;ALCIDES TEIXEIRA BARBACOVI;Grande-Oficial;20/09/2019;;;;
Doutor;ALCIDES VIEIRA CARNEIRO;Grande-Oficial;20/10/1967;;;;
Doutor;ALCINO DE PAULA SALAZAR;Grande-Oficial;17/10/1966;;;;
Gen Brig;ALCIO ALVES ALMEIDA E COSTA;Comendador;13/10/2020;;;;
Maj Av;ALCIONE HELIODORO VIANNA;Oficial;25/09/1979;;;;
Advogado;ALCIR AUGUSTINHO CALLIARI;Comendador;23/09/1993;;;;
Ten Cel Inf;ALCIR BARBOSA PINHEIRO;Cavaleiro;20/09/1985;;;;
SO QSS SAD;ALCIR DE OLIVEIRA;Cavaleiro;18/09/1991;;;;
Cel Int;ALCIR MARTINS DE ALMEIDA;Oficial;22/10/2014;;;;
Cel Av;ALCIR MOREIRA DE MORAES;Cavaleiro;19/10/2010;;;;
Gen Div;ALCY JARDIM DE MATTOS;Comendador;04/10/1973;;;;
Maj Brig Ar;ALCYR CAHET REBELLO;Grande-Oficial;12/09/1990;;;;
Ten Cel Int;ALCYR LINTZ GERALDO;Oficial;20/09/1984;;;;
SO QSS BSP;ALDAIR SUIM DE SOUZA;Cavaleiro;21/10/2011;;;;
Senhora;ALDAÍRES LOPES DOS SANTOS;Cavaleiro;;2.818/MD;22/10/2012;;
SO QTA TAR R/1;ALDEMAR PEREIRA DA SILVA;Cavaleiro;21/10/2011;;;;
Cel Inf;ALDEMARION COSME SIMAS GONÇALVES;Oficial;21/10/2011;;;;
Auditor Federal de Controle Externo (TCU);ALDEN MANGUEIRA DE OLIVEIRA;Oficial;;1.699/MD;15/10/2016;;
Ministro;ALDIR GUIMARÃES PASSARINHO;Grande-Oficial;25/09/1981;;;;
Cel Av;ALDIR RAPOSO MARTINS;Cavaleiro;17/09/1980;;;;
Cel Av;ALDO ANTÔNIO DOS SANTOS ALVES;Oficial;16/09/1998;;;;
Doutor;ALDO BAPTISTA FRANCO DA SILVA SANTOS;Grande-Oficial;09/10/1972;;;;
SO QSS BCO;ALDO DA CUNHA MIRANDA;Cavaleiro;01/10/2003;;;;
Ministro;ALDO DA SILVA FAGUNDES;Grande-Oficial;16/09/1986;;;;
Brig Ar;ALDO MATSUHIRO MIYAGUTI;Comendador;21/10/2013;; ;;
Alte Esq;ALDO PESSOA REBELLO;Comendador;12/10/1964;;;;
General;ALDO REMONDINO;Comendador;01/10/1974;;;;
Cel Av;ALDO WEBER VIEIRA ROSA;Comendador;09/10/1956;;;;
SO BET;ALDO YVES NASCIMENTO CORRÊA;Cavaleiro;20/10/2015;;;;
Embaixador da República Dominicana;ALEJANDRO ARIAS ZARZUELA;Grande-Oficial;20/09/2019;;;;
Gen Div;ALEJANDRO FRETES DÁVALOS;Grande-Oficial;14/08/1976;;;;
Brigadeiro General;ALEJANDRO OSCAR VILCHE MARTI;Grande-Oficial;20/09/2019;;;;
Cel Int;ALEKSANDRO BARRANCOS DA CRUZ ALVES CARVALHO;Oficial;21/10/2011;;;;
Senhor;ALENCAR BURTI;Comendador;17/10/2002;;;;
Major General;ALENKA ERMENC;Grande-Oficial;20/09/2019;;;;
Coronel Engenheiro;ALESSANDER DE ANDRADE SANTORO;Cavaleiro;20/09/2019;;;;
Cel Av;ALESSANDRO BARBOSA ARRAIS DE OLIVEIRA;Cavaleiro;13/10/2020;;;;
Suboficial SEM;ALESSANDRO BARRETO DE OLIVEIRA;Cavaleiro;20/09/2019;;;;
Suboficial BSP;ALESSANDRO BARRETO PEGO;Cavaleiro;20/09/2019;;;;
Doutor;ALESSANDRO CHIAPPERO;Oficial;05/09/1988;;;;
Cel Av;ALESSANDRO CRAMER;Oficial;13/10/2020;;;;
Cel Av;ALESSANDRO DE OLIVEIRA ARAUJO;Cavaleiro;15/10/2018;;;;
Presidente da ABDI;ALESSANDRO GOLOMBIEWSKI TEIXEIRA;Oficial;;2.267/MD;21/10/2015;;
Gen Div;ALESSANDRO METTIMANO;Grande-Oficial;03/07/1972;;;;
Cel Av;ALESSANDRO SORGINI D'AMATO;Cavaleiro;13/10/2020;;;;
Embaixador;ALESSANDRO WARLEY CANDEAS;Grande-Oficial;02/10/2017;;;;
Doutor;ALÉSSIO VAZ PRIMO;Oficial;15/09/1982;;;;
Cel Cav (EB);ALEX ALEXANDRE DE MESQUITA;Oficial;13/10/2020;;;;
Deputado Federal (PR);ALEX CANZIANI SILVEIRA;Grande-Oficial;15/10/2018;;;;
Senhor;ALEX CASTALDI ROMERA;Oficial;17/10/2002;;;;
SO QSS BET;ALEX DA COSTA;Cavaleiro;15/10/2018;;;;
Cel Dent;ALEX DA SILVA DURÃO;Oficial;23/09/1997;;;;
SO (FN-IF);ALEX FERNANDO LIMA DE ALENCAR;Cavaleiro;21/10/2011;;;;
Coordenador (SOF/MPOG);ALEX GONÇALVES BARBOSA;Cavaleiro;;2.818/MD;22/10/2012;;
Cel Av;ALEX MENDES LIMA;Cavaleiro;13/10/2020;;;;
Cel Int;ALEX ORÇAY REIS;Oficial;02/10/2017;;;;
Coronel Aviador;ALEX PEREIRA DE SOUZA;Cavaleiro;20/09/2019;;;;
Brig Ar;ALEX PICCHI IZMAILOV;Comendador;19/10/2010;;;;
SO BCT;ALEX PORTO LARA;Cavaleiro;20/10/2015;;;;
SO QSS BMA;ALEXANDER CARDOSO GUIMARÃES;Cavaleiro;21/10/2013;; ;;
Tenente-General (Canadá);ALEXANDER DONALD MEINZINGER;Grande-Oficial;13/10/2020;;;;
Senhor;ALEXANDER HERMANN HANS GEORG GROLMAN;Cavaleiro;15/09/1982;;;;
Cel Art;ALEXANDER MARKEL COTA DINIZ RODRIGUES;Oficial;02/10/2017;;;;
Maj Av (USAF);ALEXANDER P. SEVERSKY;Grande-Oficial;17/10/1960;;;;
Senhor;ALEXANDER ROBERT GATE;Oficial;04/10/1976;;;;
Coronel Aviador;ALEXANDER SANTOPIETRO DE SOUSA;Cavaleiro;20/09/2019;;;;
Secretária de Patrimônio da União;ALEXANDRA RESCHKE;Grande-Oficial;25/09/2008;;;;
Cel Int;ALEXANDRE ALDIR SOARES PAES;Oficial;13/10/2016;;;;
Doutor;ALEXANDRE ALVES COSTA;Grande-Oficial;23/09/1993;;;;
SO QSS BEI;ALEXANDRE ALVES DA SILVA LEAL;Cavaleiro;19/10/2012;;;;
Ten Cel;ALEXANDRE ALVES DE CARVALHO;Oficial;21/11/1968;;;;
Capitão de Mar e Guerra;ALEXANDRE AMENDOEIRA NUNES;Oficial;20/09/2019;;;;
Coronel Engenheiro;ALEXANDRE ARTHUR MASSENA JAVOSKI;Oficial;20/09/2019;;;;
Contra-Almirante;ALEXANDRE AUGUSTO AMARAL DIAS DA CRUZ;Comendador;20/10/2015;;;;
SO QSS BMT;ALEXANDRE AUGUSTO DE OLIVEIRA;Cavaleiro;13/10/2020;;;;
Capitão-de-Mar-e-Guerra;ALEXANDRE AUGUSTO MIRANDA DE SOUZA;Oficial;01/10/2003;;;;
Juiz-Auditor (5ª CJM);ALEXANDRE AUGUSTO QUINTAS;Oficial;25/09/2008;;;;
Coronel Aviador;ALEXANDRE AVELLAR LEAL;Cavaleiro;20/09/2019;;;;
Capitão QOEA COM R/1;ALEXANDRE BENITES CORREIA;Cavaleiro;20/10/2015;;;;
CMG;ALEXANDRE BESSA DE OLIVEIRA;Oficial;15/10/2018;;;;
Cel Med;ALEXANDRE BESSA ROALE;Cavaleiro;13/10/2020;;;;
Cel Av R/1;ALEXANDRE BITTENCOURT;Oficial;25/09/2008;;;;
Cel Av;ALEXANDRE BORGES DE ARAUJO;Cavaleiro;15/10/2018;;;;
Cel Av Ref;ALEXANDRE BUKOWITZ;Comendador;13/10/2016;;;;
Cel Med;ALEXANDRE CARLOS DE VASCONCELOS NETTO;Oficial;18/09/1991;;;;
Subprocurador-Geral (JM);ALEXANDRE CARLOS UMBERTO CONCESI;Comendador;06/09/2004;;;;
Cel PM (RJ);ALEXANDRE CARVALHO COSTA;Oficial;29/09/2009;;;;
Cel Ex;ALEXANDRE CAUVILLE;Oficial;25/09/1979;;;;
Coronel Aviador;ALEXANDRE CORREA LIMA;Cavaleiro;20/09/2019;;;;
CMG;ALEXANDRE CURSINO DE OLIVEIRA;Oficial;13/10/2016;;;;
Cel Av;ALEXANDRE DA COSTA CUNHA;Cavaleiro;13/10/2020;;;;
Cel Av;ALEXANDRE DA CUNHA PESSÔA;Cavaleiro;21/10/2011;;;;
Cel Av;ALEXANDRE DANIEL PINHEIRO DA SILVA;Cavaleiro;15/10/2018;;;;
Cel Eng;ALEXANDRE DE ALVARENGA VEIGA;Oficial;23/09/1997;;;;
C Alte;ALEXANDRE DE ARAÚJO MOTA;Comendador;21/10/2013;; ;;
C Alte;ALEXANDRE DE CARVALHO LEAL FILHO;Comendador;05/10/1977;;;;
Cel Av;ALEXANDRE DE CARVALHO RIBEIRO;Cavaleiro;13/10/2020;;;;
Capitão de Mar e Guerra (IM);ALEXANDRE DE MELLO BRAGA;Oficial;20/09/2019;;;;
Ministro de Estado da Justiça e Cidadania;ALEXANDRE DE MORAES;Grande-Oficial;13/10/2016;;;;
Cel Av;ALEXANDRE DE MORAES FREIRE;Cavaleiro;19/10/2012;;;;
Doutor;ALEXANDRE DE PAULA DUPEYRAT MARTINS;Grande-Oficial;07/10/1994;;;;
Doutor;ALEXANDRE DE SOUZA COSTA BARROS;Oficial;26/09/2000;;;;
SO BMA;ALEXANDRE DIAS BARRETO;Cavaleiro;20/10/2015;;;;
1º SG (ES);ALEXANDRE DIAS DE ANDRADE;Cavaleiro;21/10/2013;; ;;
2S QSS SAD;ALEXANDRE DOS SANTOS MARQUES;Cavaleiro;21/10/2011;;;;
Jornalista;ALEXANDRE EGGERS GARCIA;Grande-Oficial;15/10/2018;;;;
Doutor;ALEXANDRE ERNST MAHLER;Oficial;20/09/1984;;;;
Gen Bda;ALEXANDRE FALCÃO CORRÊA;Comendador;20/10/2015;;;;
Brig Int;ALEXANDRE FALCONIERE DE TORRES;Comendador;02/10/2017;;;;
Cap Av;ALEXANDRE FELÍCIO DOS SANTOS;Cavaleiro;20/09/1984;;;;
Cel Av R/1;ALEXANDRE FERNANDES DA SILVA LESSA;Cavaleiro;04/10/2007;;;;
Gen Brig;ALEXANDRE FERNANDES LOBO NOGUEIRA;Comendador;13/10/2020;;;;
Cel Av R/1;ALEXANDRE FERNANDES RAMOS;Cavaleiro;20/09/2006;;;;
SO QSS SAD;ALEXANDRE FERREIRA MATHIAS;Cavaleiro;19/10/2012;;;;
SO QSS BET;ALEXANDRE FONSECA MEDEIROS;Cavaleiro;15/10/2018;;;;
CF;ALEXANDRE FONTOURA DE OLIVEIRA;Cavaleiro;21/10/2013;; ;;
Coronel Aviador;ALEXANDRE GOMES DA SILVA;Oficial;20/09/2019;;;;
Cel Int;ALEXANDRE GOMES DE OLIVEIRA;Oficial;02/10/2017;;;;
Presidente do Conselho de Adm. da EMBRAER;ALEXANDRE GONÇALVES SILVA;Comendador;;2.819/MD;23/10/2012;;
Cel Cav;ALEXANDRE GOUVÊA MOSCA;Oficial;15/10/2018;;;;
Cel Inf (Ex);ALEXANDRE GUERRA;Oficial;22/10/2014;;;;
SO QSS BEI;ALEXANDRE GUIMARÃES BOUCAS;Cavaleiro;13/10/2016;;;;
SO QSS BEI R/1;ALEXANDRE HENRIQUE CHAVES;Cavaleiro;13/10/2020;;;;
Cel Av;ALEXANDRE HOFFMANN;Oficial;13/10/2020;;;;
CC;ALEXANDRE ITIRO VILLELA ASSANO;Cavaleiro;04/10/2007;;;;
SO QSS SML;ALEXANDRE JESUS DO NASCIMENTO;Cavaleiro;13/10/2016;;;;
Professor;ALEXANDRE JORGE DE ANDRADE NEGRI;Oficial;;2.818/MD;22/10/2012;;
Cel Int;ALEXANDRE JORGE ESTEVES;Oficial;15/10/2018;;;;
Alte Esq;ALEXANDRE JOSE BARRETO DE MATTOS;Grande-Oficial;02/10/2017;;;;
Cel Int;ALEXANDRE LICHTLER;Cavaleiro;19/10/2010;;;;
Cel Eng;ALEXANDRE LIMA GUERRA;Cavaleiro;15/10/2018;;;;
Cel Av;ALEXANDRE LIMA PRADO;Oficial;13/10/2020;;;;
Defensor Público da União;ALEXANDRE LOBÃO ROCHA;Cavaleiro;29/09/2009;;;;
SO QSS BMA;ALEXANDRE LUIZ CARVALHOSA FRANCISCO DA SILVA;Cavaleiro;13/10/2016;;;;
Coronel Aviador;ALEXANDRE MACIEL DA SILVA;Oficial;20/09/2019;;;;
Senhor;ALEXANDRE MAEDA;Cavaleiro;;2.753/MD;22/10/2014;;
Capitão-de-Fragata;ALEXANDRE MAGALHÃES DE MOURA;Cavaleiro;20/10/2015;;;;
SO QSS SAD;ALEXANDRE MAGNO SILVA DA COSTA;Cavaleiro;26/09/2001;;;;
Doutor;ALEXANDRE MARTCHENKO;Oficial;12/09/1995;;;;
Coronel Aviador;ALEXANDRE MELO FIORENZANO REIS;Cavaleiro;20/09/2019;;;;
Cel Av;ALEXANDRE MENDES DE OLIVEIRA;Oficial;13/10/2020;;;;
Cel Int;ALEXANDRE MENEZES ANDRADE;Oficial;22/10/2014;;;;
SO QSS SAD;ALEXANDRE MONTEIRO SOARES;Cavaleiro;21/10/2013;; ;;
Cel Av;ALEXANDRE MOUTTA DA SILVA;Cavaleiro;15/10/2018;;;;
1º Tenente QOEA SVA;ALEXANDRE MOYSÉS CORRÊA AGNEZ;Cavaleiro;01/10/2003;;;;
SO QSS SDE R/1;ALEXANDRE MULLER MACHADO;Cavaleiro;13/10/2016;;;;
Cel Av;ALEXANDRE NEY DE OLIVEIRA LIMA TELLES;Comendador;13/10/1969;;;;
Cel Inf;ALEXANDRE OKADA;Oficial;15/10/2018;;;;
SO QSS SAD;ALEXANDRE OLIVEIRA FERNANDES;Cavaleiro;21/10/2013;; ;;
Cel Av;ALEXANDRE PINTO SAMPAIO;Oficial;21/10/2013;; ;;
Cel Int;ALEXANDRE PRENAZZI DISCACIATI;Oficial;20/10/2015;;;;
V Alte;ALEXANDRE RABELLO DE FARIA;Grande-Oficial;13/10/2020;;;;
Cel Inf;ALEXANDRE RIBEIRO DE MENDONÇA;Oficial;15/10/2018;;;;
Cel Inf (EB);ALEXANDRE RICARDO SANTOS DE QUADROS;Oficial;02/10/2017;;;;
Auditor Federal;ALEXANDRE ROBSON REGINALDO OLIVEIRA;Oficial;;2.267/MD;21/10/2015;;
Cel Av;ALEXANDRE ROCHA ALVES;Cavaleiro;20/10/2015;;;;
Ministro da Saúde;ALEXANDRE ROCHA SANTOS PADILHA;Grande-Oficial;21/10/2011;;;;
Capitão-de-Mar-e-Guerra (IM);ALEXANDRE RODRIGUES VIVEIROS;Oficial;20/10/2015;;;;
Cel Eng;ALEXANDRE RUI BARALHO BIANCO;Oficial;19/10/2010;;;;
Cel Av;ALEXANDRE SALVIATTO;Cavaleiro;15/10/2018;;;;
Coronel Intendente;ALEXANDRE SANCHES DA SILVA;Oficial;20/09/2019;;;;
Brig Int;ALEXANDRE SANTANA NOGUEIRA;Comendador;02/10/2017;;;;
Cel Art;ALEXANDRE SARAIVA DO NASCIMENTO;Oficial;13/10/2016;;;;
Cel Int;ALEXANDRE SILVA DO NASCIMENTO;Cavaleiro;22/10/2014;;;;
Assessor (MJSP);ALEXANDRE SILVEIRA DE OLIVEIRA;Oficial;;3.210/GM-MD;25/09/2020;;
Subtenente de Infantaria;ALEXANDRE SÓRIO NETO;Cavaleiro;20/10/2015;;;;
Cel Int;ALEXANDRE VELLOSO GUIMARÃES;Cavaleiro;19/10/2012;;;;
Juiz Federal;ALEXANDRE VIDIGAL DE OLIVEIRA;Comendador;;1.698/MD;15/10/2016;;
Médico;ALEXANDRE VISCONTI BRICK;Cavaleiro;28/09/1999;;;;
Brig Ar;ALEXANDRE WAGNER CELSO DE SOUZA;Comendador;21/10/2013;; ;;
Mal Ex;ALEXANDRE ZACARIAS DE ASSUMPÇÃO;Comendador;15/10/1963;;;;
C Alte (IM);ALEXANDRINO CERVO MACHADO;Comendador;26/09/2001;;;;
Brig Med;ALEXANDRINO DO NASCIMENTO;Comendador;20/09/2006;;;;
C Alte (IM);ALEXANDRINO MACHADO NETO;Comendador;15/10/2018;;;;
Coronel Aviador;ALEXANDRO PEREIRA DE OLIVEIRA;Cavaleiro;20/09/2019;;;;
Cel Av;ALEXEI POSENATTO;Cavaleiro;15/10/2018;;;;
Doutor;ALEXIS STEPANENKO;Grande-Oficial;23/09/1993;;;;
Suboficial STP;ALEXSANDER ROSA GUIMARAES DA CRUZ;Cavaleiro;20/09/2019;;;;
Suboficial BCO;ALEXSANDRE FERREIRA BRAGA;Cavaleiro;20/09/2019;;;;
Suboficial BMA;ALEXSANDRO EMMY MOURA;Cavaleiro;20/09/2019;;;;
Coronel Aviador;ALEXSANDRO OLIVEIRA MENDES;Cavaleiro;20/09/2019;;;;
Cel Av R/1;ALEXSANDRO SOUZA DE LIMA;Oficial;15/10/2018;;;;
Assessor Jurídico (STM);ALFONSO MARTINEZ GALIANO;Comendador;06/09/2004;;;;
Gen Av;ALFONSO RODRIGUEZ RUBIANO;Grande-Oficial;05/10/1977;;;;
Cel Av (USAF);ALFRED JOSEPH BILOTTI;Oficial;05/04/1954;;;;
Cel Av;ALFREDO BRUNO DE ABREU MENESCAL;Comendador;02/10/1978;;;;
Doutor;ALFREDO BUZAID;Grande-Oficial;19/10/1970;;;;
Ministro;ALFREDO CARLOS DE OLIVEIRA TAVARES;Comendador;23/09/1993;;;;
Senhor;ALFREDO DE SALLES OLIVEIRA NETTO;Cavaleiro;15/10/1963;;;;
C Alte;ALFREDO EWALDO RUTTER MATTOS;Comendador;01/10/1975;;;;
Doutor;ALFREDO FELIPE DA LUZ SOBRINHO;Oficial;05/10/1977;;;;
Senhor;ALFREDO FIGUEIREDO;Cavaleiro;07/10/1968;;;;
Cmt de Grupo;ALFREDO GOMEZ LOBO G.;Oficial;19/03/1956;;;;
Maj Brig Ar;ALFREDO GONÇALVES CORRÊA;Grande-Oficial;19/10/1970;;;;
Ten Brig Ar;ALFREDO HENRIQUE DE BERENGUER CÉSAR;Grã-Cruz;15/09/1982;;;;
Médico;ALFREDO HENRIQUE RODRIGUEZ GUARISCHI;Comendador;29/09/2009;;;;
